"co_pcdt","sg_uf","nu_competencia_min","nu_competencia_max","qt_municipios_atendimento","qt_municipios_paciente","qt_secretarias","qt_cns_pacientes","qt_00a20","qt_21a40","qt_41a60","qt_61a00","qt_sexof","qt_sexom","qt_obito_paciente","qt_cid","qt_sigtap","qt_registros","qt_aprovada","vl_aprovado_ipca","qt_redesbr1","qt_redesbr2","qt_redesbr3","qt_redesbr4","qt_redesbr5"
1,BR,200801,201906,191,4581,27,421705,1955892,1283295,72909,6062,1459447,1858791,6,3,10,3318238,142817474,24306987.02,222468,84342,904636,428200,1671497
2,BR,200801,201906,173,2718,28,29832,39999,250569,355973,142269,510272,278543,74,5,46,788815,12337742,3059448035.23,41460,15451,149336,97921,477598
3,BR,200801,201906,113,481,27,1260,4401,4696,4119,3584,8306,8494,11,1,15,16800,912360,5043908.38,1257,504,4038,2838,7910
4,BR,200801,201906,100,625,27,2027,3283,3379,2869,1879,7396,4016,1,2,18,11412,258720,13956366.59,1334,275,2389,1259,6090
6,BR,200801,201906,94,381,20,1349,3088,12387,12185,4062,20573,11149,0,1,4,31722,1639076,3010127.96,518,442,7703,3378,19576
7,BR,200801,201906,126,903,27,4658,7262,18928,26882,9711,34006,28777,7,1,44,62783,3756932,18916720.48,1932,1669,18750,12295,28019
8,BR,200801,201906,167,2817,27,30871,13735,225509,559207,231119,517471,512102,36,2,20,1029573,7792214,64505829.81,35359,26664,234840,118462,608444
9,BR,200801,201906,67,203,18,430,261,2210,3245,618,3130,3204,0,1,2,6334,508333,1101141.05,379,200,1799,546,3349
10,BR,200801,201906,195,5214,28,318477,446468,2184119,7733179,5100612,12887516,2576944,1155,8,81,15464460,289781004,5007762651.52,718058,434025,3944887,1643679,8557868
11,BR,200801,201906,190,5116,28,653581,1964324,3045653,7896616,10110689,14520942,8496430,5073,3,112,23017372,372802490,312362762.75,926551,615015,6614874,3025712,11702366
12,BR,201605,201906,159,1554,27,10634,109426,10449,1804,664,25703,96640,0,5,4,122343,3756738,1775225.00,8356,5021,30051,11329,66285
13,BR,200801,200801,2,2,2,2,1,1,0,0,1,1,0,1,2,2,13,737.80,0,0,1,0,1
