"co_pcdt","co_cid10_diagnostico_principal","nu_trimestre","qt_cns_paciente","co_seq_pcdt_cid10_trimestre"
1,L700,"200801",14553,1
1,L700,"200802",6554,2
1,L700,"200803",7189,3
1,L700,"200804",6965,4
1,L700,"200901",5226,5
1,L700,"200902",6664,6
1,L700,"200903",8420,7
1,L700,"200904",6847,8
1,L700,"201001",5697,9
1,L700,"201002",7761,10
1,L700,"201003",6939,11
1,L700,"201004",7824,12
1,L700,"201101",7382,13
1,L700,"201102",9584,14
1,L700,"201103",10670,15
1,L700,"201104",7554,16
1,L700,"201201",6447,17
1,L700,"201202",7825,18
1,L700,"201203",9389,19
1,L700,"201204",8264,20
1,L700,"201301",6685,21
1,L700,"201302",8137,22
1,L700,"201303",10214,23
1,L700,"201304",8389,24
1,L700,"201401",7148,25
1,L700,"201402",7924,26
1,L700,"201403",9805,27
1,L700,"201404",8448,28
1,L700,"201501",6457,29
1,L700,"201502",7680,30
1,L700,"201503",7745,31
1,L700,"201504",7414,32
1,L700,"201601",5323,33
1,L700,"201602",6884,34
1,L700,"201603",7839,35
1,L700,"201604",5448,36
1,L700,"201701",4831,37
1,L700,"201702",6183,38
1,L700,"201703",7222,39
1,L700,"201704",5412,40
1,L700,"201801",5160,41
1,L700,"201802",5880,42
1,L700,"201803",6598,43
1,L700,"201804",5051,44
1,L700,"201901",4272,45
1,L700,"201902",5246,46
1,L701,"200801",2666,1
1,L701,"200802",1317,2
1,L701,"200803",1508,3
1,L701,"200804",1352,4
1,L701,"200901",823,5
1,L701,"200902",1112,6
1,L701,"200903",1744,7
1,L701,"200904",1383,8
1,L701,"201001",1186,9
1,L701,"201002",1378,10
1,L701,"201003",1440,11
1,L701,"201004",1483,12
1,L701,"201101",1483,13
1,L701,"201102",2061,14
1,L701,"201103",2316,15
1,L701,"201104",1700,16
1,L701,"201201",1229,17
1,L701,"201202",1549,18
1,L701,"201203",1803,19
1,L701,"201204",1678,20
1,L701,"201301",1315,21
1,L701,"201302",1617,22
1,L701,"201303",1909,23
1,L701,"201304",1745,24
1,L701,"201401",1414,25
1,L701,"201402",1488,26
1,L701,"201403",1996,27
1,L701,"201404",1840,28
1,L701,"201501",1457,29
1,L701,"201502",1628,30
1,L701,"201503",1712,31
1,L701,"201504",1673,32
1,L701,"201601",1140,33
1,L701,"201602",1448,34
1,L701,"201603",1675,35
1,L701,"201604",1156,36
1,L701,"201701",1084,37
1,L701,"201702",1420,38
1,L701,"201703",1544,39
1,L701,"201704",1473,40
1,L701,"201801",993,41
1,L701,"201802",1305,42
1,L701,"201803",1407,43
1,L701,"201804",1158,44
1,L701,"201901",879,45
1,L701,"201902",1024,46
1,L708,"200801",1465,1
1,L708,"200802",670,2
1,L708,"200803",753,3
1,L708,"200804",765,4
1,L708,"200901",582,5
1,L708,"200902",668,6
1,L708,"200903",741,7
1,L708,"200904",708,8
1,L708,"201001",577,9
1,L708,"201002",670,10
1,L708,"201003",562,11
1,L708,"201004",630,12
1,L708,"201101",690,13
1,L708,"201102",911,14
1,L708,"201103",892,15
1,L708,"201104",574,16
1,L708,"201201",588,17
1,L708,"201202",689,18
1,L708,"201203",795,19
1,L708,"201204",670,20
1,L708,"201301",640,21
1,L708,"201302",721,22
1,L708,"201303",866,23
1,L708,"201304",708,24
1,L708,"201401",652,25
1,L708,"201402",802,26
1,L708,"201403",842,27
1,L708,"201404",774,28
1,L708,"201501",632,29
1,L708,"201502",755,30
1,L708,"201503",691,31
1,L708,"201504",707,32
1,L708,"201601",501,33
1,L708,"201602",692,34
1,L708,"201603",642,35
1,L708,"201604",416,36
1,L708,"201701",420,37
1,L708,"201702",486,38
1,L708,"201703",544,39
1,L708,"201704",455,40
1,L708,"201801",358,41
1,L708,"201802",446,42
1,L708,"201803",489,43
1,L708,"201804",365,44
1,L708,"201901",299,45
1,L708,"201902",357,46
2,D610,"200801",300,1
2,D610,"200802",62,2
2,D610,"200803",51,3
2,D610,"200804",39,4
2,D610,"200901",61,5
2,D610,"200902",58,6
2,D610,"200903",66,7
2,D610,"200904",51,8
2,D610,"201001",50,9
2,D610,"201002",49,10
2,D610,"201003",49,11
2,D610,"201004",48,12
2,D610,"201101",91,13
2,D610,"201102",228,14
2,D610,"201103",97,15
2,D610,"201104",71,16
2,D610,"201201",65,17
2,D610,"201202",81,18
2,D610,"201203",73,19
2,D610,"201204",47,20
2,D610,"201301",66,21
2,D610,"201302",57,22
2,D610,"201303",60,23
2,D610,"201304",52,24
2,D610,"201401",66,25
2,D610,"201402",62,26
2,D610,"201403",57,27
2,D610,"201404",60,28
2,D610,"201501",48,29
2,D610,"201502",70,30
2,D610,"201503",59,31
2,D610,"201504",27,32
2,D610,"201601",28,33
2,D610,"201602",42,34
2,D610,"201603",60,35
2,D610,"201604",46,36
2,D610,"201701",51,37
2,D610,"201702",59,38
2,D610,"201703",48,39
2,D610,"201704",38,40
2,D610,"201801",31,41
2,D610,"201802",33,42
2,D610,"201803",42,43
2,D610,"201804",48,44
2,D610,"201901",31,45
2,D610,"201902",42,46
2,D611,"200801",77,1
2,D611,"200802",29,2
2,D611,"200803",34,3
2,D611,"200804",27,4
2,D611,"200901",28,5
2,D611,"200902",35,6
2,D611,"200903",40,7
2,D611,"200904",34,8
2,D611,"201001",28,9
2,D611,"201002",39,10
2,D611,"201003",48,11
2,D611,"201004",50,12
2,D611,"201101",38,13
2,D611,"201102",32,14
2,D611,"201103",24,15
2,D611,"201104",23,16
2,D611,"201201",34,17
2,D611,"201202",22,18
2,D611,"201203",26,19
2,D611,"201204",29,20
2,D611,"201301",16,21
2,D611,"201302",17,22
2,D611,"201303",12,23
2,D611,"201304",7,24
2,D611,"201401",14,25
2,D611,"201402",15,26
2,D611,"201403",8,27
2,D611,"201404",19,28
2,D611,"201501",10,29
2,D611,"201502",11,30
2,D611,"201503",8,31
2,D611,"201504",13,32
2,D611,"201601",7,33
2,D611,"201602",11,34
2,D611,"201603",10,35
2,D611,"201604",11,36
2,D611,"201701",12,37
2,D611,"201702",13,38
2,D611,"201703",24,39
2,D611,"201704",7,40
2,D611,"201801",13,41
2,D611,"201802",8,42
2,D611,"201803",6,43
2,D611,"201804",6,44
2,D611,"201901",7,45
2,D611,"201902",15,46
2,D612,"200801",13,1
2,D612,"200802",6,2
2,D612,"200803",8,3
2,D612,"200804",3,4
2,D612,"200901",3,5
2,D612,"200902",5,6
2,D612,"200903",4,7
2,D612,"200904",5,8
2,D612,"201001",6,9
2,D612,"201002",1,10
2,D612,"201003",2,11
2,D612,"201004",4,12
2,D612,"201101",5,13
2,D612,"201102",2,14
2,D612,"201103",4,15
2,D612,"201104",4,16
2,D612,"201201",2,17
2,D612,"201202",3,18
2,D612,"201204",2,19
2,D612,"201301",1,20
2,D612,"201303",2,21
2,D612,"201304",2,22
2,D612,"201401",2,23
2,D612,"201402",2,24
2,D612,"201403",5,25
2,D612,"201404",5,26
2,D612,"201501",4,27
