"co_pcdt","sg_uf","qt_cobertura_municipio_uf","qt_cns_mes_habitante"
0,AC,82,22.395275287129458
0,AL,88,53.336308186081915
0,AM,61,11.390734295304487
0,AP,44,9.149821925117697
0,BA,63,9.762990009130073
0,CE,96,27.74592172849259
0,DF,100,11.070329213125165
0,ES,99,119.5446817846741
0,GO,73,33.47303059067264
0,MA,64,40.031551564041145
0,MG,66,25.586280398988723
0,MS,91,40.67191266851986
0,MT,83,90.28895596068475
0,PA,81,19.427470974910083
0,PB,84,46.19273964304021
0,PE,59,21.858094060603253
0,PI,65,25.852623888965958
0,PR,97,85.6702827604247
0,RJ,89,6.57106682012871
0,RN,96,66.35191714772105
0,RO,87,27.39436586352535
0,RR,80,22.45513268572128
0,RS,76,38.830025743561436
0,SC,88,123.15569647907047
0,SE,83,58.30010299504757
0,SP,98,67.87469699761833
0,TO,58,92.16221391312766
1,AC,50,26.891275067345106
1,AL,96,99.68830202972508
1,AM,37,20.83286498789022
1,AP,38,46.32665554150237
1,BA,54,12.029148991936015
1,CE,99,46.49859209932994
1,DF,100,11.658695033937212
1,ES,100,889.5507442758447
1,GO,73,96.78106051298472
1,MA,36,67.07652232435905
1,MG,94,222.77245817737202
1,MS,87,49.08726608554175
1,MT,35,29.603841062913034
1,PA,47,19.293568717666172
1,PB,95,158.03392515960672
1,PE,86,57.04538337573167
1,PI,76,137.54611634096713
1,PR,98,99.79896385630997
1,RJ,92,8.141776555000522
1,RN,93,99.28388375538732
1,RO,69,76.38668163049249
1,RR,93,80.87866582552853
1,RS,76,25.196499718089424
1,SC,96,359.5520121783032
1,SE,95,88.10753903360295
1,SP,100,129.20178783903552
1,TO,45,188.81330278092818
2,AC,23,1.8356783022237262
2,AL,47,3.1103246674389027
2,AM,34,2.1635231177245
2,AP,12,0.8074519561600241
2,BA,48,4.535809736001418
2,CE,76,9.636504416038774
2,DF,100,1.7379421168602054
2,ES,76,17.47374240261741
2,GO,28,2.4672609402514576
2,MA,29,9.594252805314774
2,MG,42,6.840464982597994
2,MS,52,3.3744052163181055
2,MT,38,8.059265246142015
2,PA,34,1.8222350659714879
2,PB,65,14.32965189431008
2,PE,29,2.39456648416721
2,PI,17,2.9020719052160096
2,PR,47,4.882219754662396
2,RJ,77,1.7835752797492213
2,RN,47,8.5850330086758
2,RO,29,2.2177591499450147
2,RR,47,4.402363249314483
2,RS,48,8.775471106004284
2,SC,42,9.414104934247591
2,SE,60,9.52757321111528
2,SP,83,10.88963960994627
2,TO,17,6.593035089675799
3,AC,9,0.844412019022914
3,AL,1,0.05759860495257227
3,AM,5,0.2416650546509044
3,AP,6,0.12092275671961714
3,BA,4,0.49603679357168057
3,CE,15,0.36874379143005503
3,DF,100,0.13676779888612478
3,ES,9,0.26395381272835966
3,GO,6,0.33001579455592744
3,MA,1,0.13255533660605096
3,MG,4,0.20804770266947226
3,MS,8,0.2203693202493457
3,MT,11,0.8020518778612485
3,PA,19,0.6578676116766075
3,PB,5,0.3520548266716737
3,PE,1,0.027908700281669117
3,PI,4,0.21765539289120073
3,PR,7,0.2810307082254878
3,RJ,14,0.039953908319013146
3,RN,11,0.4895498655851292
3,RO,10,0.25385763328833116
3,RR,7,0.3381686375980288
3,RS,7,0.37281413195443036
3,SC,13,1.189809271068986
3,SE,1,0.08720890811089502
3,SP,22,0.37410599653375015
3,TO,2,0.5231965741088328
4,AC,14,0.28147067300763795
4,AL,37,1.8661948004633417
4,AM,6,0.3925441729957872
4,AP,6,0.2852536825180712
4,BA,16,1.3068160189045008
4,CE,32,0.8295389526915545
4,DF,100,0.17531872231484527
4,ES,15,0.5283106083769152
4,GO,5,0.2611908113325849
4,MA,5,0.718008073282776
4,MG,4,0.17964074437950817
4,MS,11,0.24294474873353614
4,MT,16,1.1636913406469007
4,PA,14,0.4571146023154212
4,PB,9,0.8654681155678644
4,PE,3,0.158006180056219
4,PI,1,0.3255983113169182
4,PR,9,0.33613476866185793
4,RJ,26,0.14067232300513607
4,RN,10,0.41827581386016477
4,RO,2,0.4276044560717381
4,RR,7,0.34375820185584743
4,RS,2,0.1187269620224109
4,SC,8,0.7944655261546564
4,SE,3,27.72233311155467
4,SP,26,0.44246673084011817
4,TO,1,0.645275774734227
6,AC,9,0.5263867131571411
6,AL,2,0.06555552563674205
6,BA,3,0.19132847752050536
6,DF,100,0.17033807679453716
6,ES,26,2.0324443580083695
6,GO,0,0.03098107459096462
6,MA,1,0.14360161465655522
6,MG,8,0.6205560786520465
6,MS,5,0.5767691239338423
6,MT,1,1.241270763356694
6,PB,1,4.019292604501607
6,PE,5,0.12095307791493624
6,PI,1,0.2002429614599047
6,PR,7,0.3802180170109541
6,RJ,34,0.4450566665928202
6,RO,2,10.38842314125139
6,RS,6,0.395756540074703
6,SC,7,1.0396117414009975
6,SE,1,0.06717442922055428
6,SP,20,0.4169253575827938
7,AC,5,1.8626735713740752
7,AL,2,0.09430551251556749
7,AM,5,0.16207045393875852
7,AP,12,0.6650751619578942
7,BA,2,0.03897431949491777
7,CE,20,0.9341509382894728
7,DF,100,0.050837332996819244
7,ES,35,1.5155187524972824
7,GO,4,0.1582974614136878
7,MA,2,0.5869847022457731
7,MG,16,2.180913848673089
7,MS,16,0.2479154852805139
7,MT,5,8.808425120708986
7,PA,3,0.060762368833371494
7,PB,30,3.766226033107062
7,PE,4,0.18124238300566295
7,PI,5,1.3733477445258948
7,PR,9,0.26449949009457674
7,RJ,34,0.25543865385289066
7,RN,10,0.417908421840964
7,RO,4,11.777823144207666
7,RR,33,6.3181887227176
7,RS,28,3.045604677966193
7,SC,10,0.9601969555995324
7,SE,12,5.493213288072138
7,SP,44,1.165888567510804
7,TO,6,0.8478075872420502
8,AC,23,3.4924225252792365
8,AL,26,2.377289944592955
8,AM,37,3.259806265438489
8,AP,38,4.796972477574537
8,BA,23,3.7668317860229803
8,CE,60,6.661524202998231
8,DF,100,2.1362205186406698
8,ES,64,14.768935696186436
8,GO,56,12.121345433714906
8,MA,18,4.269237192492181
8,MG,53,13.886799828613377
8,MS,56,4.777398405540714
8,MT,47,14.083202866495576
8,PA,23,2.7768468104174215
8,PB,42,11.070997932935231
8,PE,27,4.233070972452083
8,PI,34,9.292620612091905
8,PR,66,15.112809829300263
8,RJ,93,5.8616102936898855
8,RN,43,9.670925359259094
8,RO,46,4.376619691209161
8,RR,60,8.618730412295706
8,RS,57,15.709038879001273
8,SC,66,43.20886300197896
8,SE,24,1.7260096396947973
8,SP,76,9.750338753462787
8,TO,24,15.773407826836658
9,AC,9,0.5333128541197351
9,AL,2,0.08152417931748691
9,CE,4,0.06014969647440615
9,DF,100,0.058836582081204875
9,ES,6,0.6938214506002596
9,MA,0,0.47867204885518394
9,MG,2,0.07557405361512812
9,MS,1,0.6128171941797074
9,PB,9,0.9028845705764481
9,PE,1,0.15180703248102062
9,PR,3,0.1046977148291033
9,RJ,11,0.029027119756010304
9,RN,2,0.2059691507644751
9,RO,2,1.4076457687575836
9,RS,9,0.4531125603753846
9,SC,4,0.3972327630773282
9,SE,1,0.41424231352675134
9,SP,9,0.10366792675031632
10,AC,86,53.308097896577
10,AL,89,28.845381360248194
10,AM,84,19.729611477527392
10,AP,88,34.46298566509088
10,BA,92,60.15272850045913
10,CE,101,78.31708414650558
10,DF,100,40.20801501610955
10,ES,100,227.15865123402634
10,GO,91,48.73233232942529
10,MA,65,60.62485557891961
10,MG,97,111.24812845846574
10,MS,97,58.38409678356102
10,MT,87,77.15667107299798
10,PA,89,29.097542682829065
10,PB,97,138.723845472762
10,PE,93,53.121420116128995
10,PI,74,35.22389774955932
10,PR,100,186.25723468097476
10,RJ,98,20.02522697337413
10,RN,98,65.81460631963982
10,RO,92,32.03149863159221
10,RR,87,43.15203350567019
10,RS,97,100.67128683175635
10,SC,99,242.8463343792383
10,SE,88,40.14548334135342
10,SP,100,87.54906657436315
10,TO,65,88.02403231428859
11,AC,82,51.43570602830881
11,AL,100,117.46659494027591
11,AM,98,52.18245824339488
11,AP,62,42.64542553645165
11,BA,89,61.28755387705687
11,CE,99,75.26880213735045
11,DF,100,51.015842555333954
11,ES,100,241.75529707790457
11,GO,77,48.70090225375329
11,MA,57,104.4099039119669
11,MG,95,101.05379102766159
11,MS,96,70.7936441301023
11,MT,92,184.33770307414557
11,PA,66,20.423005148332205
11,PB,100,267.23927023626453
11,PE,87,52.272995627566246
11,PI,67,66.75974578623996
11,PR,100,323.15776242909277
11,RJ,98,19.826905037152944
11,RN,100,241.467486139709
11,RO,100,145.7168568747963
11,RR,93,48.1194079029195
11,RS,97,118.60077877774941
11,SC,99,786.7561620326518
11,SE,100,130.66643411463394
11,SP,100,253.82040161210233
11,TO,53,89.23174855722579
12,AC,18,0.9211767480249972
12,AL,16,3.1794429933819894
12,AM,6,0.9351903220520256
12,AP,19,1.5892705168863965
12,BA,8,1.381344366098661
12,CE,22,12.212794372163424
12,DF,100,3.2050453923182656
12,ES,76,44.99057068520737
12,GO,32,9.290135745587904
12,MA,14,11.061205453275198
12,MG,21,6.123981490301304
12,MS,32,6.117831089891014
12,MT,14,4.610434263896292
12,PA,4,0.9119829412288011
12,PB,39,22.264765611778646
12,PE,1,9.949451650415039
12,PI,10,5.74226139480609
12,PR,55,31.26008669587357
12,RJ,11,0.1042606750419962
12,RN,10,4.555552981614273
12,RO,25,11.467504007516668
12,RR,13,1.9807020202170256
12,RS,36,16.642603974720405
12,SC,14,16.049006257877902
12,SE,23,25.919733332102442
12,SP,64,9.752969424536339
12,TO,3,2.1509192491140903
13,PB,0,3.0645986754804526
13,RS,0,0.791513080149406
14,AC,23,0.49152341405811406
14,AL,13,0.46078883962057815
14,AM,19,2.070391327888677
14,AP,6,0.45275729841531065
14,BA,13,0.7227964706330203
14,CE,43,1.6716385211495828
14,DF,100,0.8237121491368683
14,ES,45,3.2466318965588234
14,GO,18,0.9743323458317857
14,MA,5,1.3207155800529895
14,MG,22,2.2526544358004927
14,MS,24,0.798838785903878
