"co_pcdt","nu_ano_competencia","sg_procedimento","sg_procedimento_outros","qt_cns_paciente","qt_dispensacao","qt_cns_paciente_total","qt_dispensacao_total","qt_cns_paciente_percentual","qt_dispensacao_percentual"
0,2008,ALFA4000,ALFA4000,6329,24752,62014,289106,10,9
0,2008,LEVO100,LEVO100,6611,37015,62014,289106,11,13
0,2008,LEVO25,LEVO25,7951,41091,62014,289106,13,14
0,2008,LEVO50,LEVO50,7079,33940,62014,289106,11,12
0,2008,SACA1005,SACA1005,4186,17134,62014,289106,7,6
0,2008,SOMA12,SOMA12,3921,23208,62014,289106,6,8
0,2008,SOMA4,SOMA4,8601,55375,62014,289106,14,19
0,2009,ALFA4000,ALFA4000,6231,32186,56453,317048,11,10
0,2009,LEVO100,LEVO100,6205,40102,56453,317048,11,13
0,2009,LEVO25,LEVO25,7628,45852,56453,317048,14,14
0,2009,LEVO50,LEVO50,5637,27528,56453,317048,10,9
0,2009,SACA1005,SACA1005,4259,22657,56453,317048,8,7
0,2009,SOMA12,SOMA12,5121,32000,56453,317048,9,10
0,2009,SOMA4,SOMA4,8774,55980,56453,317048,16,18
0,2010,ALFA4000,ALFA4000,5716,22749,48479,222461,12,10
0,2010,DONE5,DONE5,2014,8196,48479,222461,4,4
0,2010,LEVO100,LEVO100,2859,6292,48479,222461,6,3
0,2010,LEVO25,LEVO25,3270,6581,48479,222461,7,3
0,2010,SACA1005,SACA1005,3039,10905,48479,222461,6,5
0,2010,SOMA12,SOMA12,6393,42651,48479,222461,13,19
0,2010,SOMA4,SOMA4,9164,58562,48479,222461,19,26
0,2011,ALFA4000,ALFA4000,1742,3338,28497,134658,6,2
0,2011,DONE10,DONE10,1159,2538,28497,134658,4,2
0,2011,DONE5,DONE5,870,1839,28497,134658,3,1
0,2011,RIVA3,RIVA3,901,1870,28497,134658,3,1
0,2011,SACA1005,SACA1005,1589,3844,28497,134658,6,3
0,2011,SOMA12,SOMA12,8113,49446,28497,134658,28,37
0,2011,SOMA4,SOMA4,9752,61565,28497,134658,34,46
0,2012,AZAT50,AZAT50,36,209,23153,125127,0,0
0,2012,CALC200,CALC200,21,168,23153,125127,0,0
0,2012,CICLOSP100,CICLOSP100,76,479,23153,125127,0,0
0,2012,CICLOSP50,CICLOSP50,36,243,23153,125127,0,0
0,2012,RISE35,RISE35,21,109,23153,125127,0,0
0,2012,SACA1005,SACA1005,1208,3103,23153,125127,5,2
0,2012,SOMA12,SOMA12,11066,60408,23153,125127,48,48
0,2012,SOMA4,SOMA4,10525,59310,23153,125127,45,47
0,2012,SULF500,SULF500,130,940,23153,125127,1,1
0,2013,BRIM205,BRIM205,796,1701,32875,164920,2,1
0,2013,DORZ205,DORZ205,3283,7712,32875,164920,10,5
0,2013,SACA1005,SACA1005,1251,2935,32875,164920,4,2
0,2013,SOMA12,SOMA12,13300,79494,32875,164920,40,48
0,2013,SOMA4,SOMA4,10436,64105,32875,164920,32,39
0,2013,TIMO505,TIMO505,1100,1879,32875,164920,3,1
0,2013,TRAV00425,TRAV00425,716,1229,32875,164920,2,1
0,2014,BRIM205,BRIM205,5990,21290,70017,316535,9,7
0,2014,DORZ205,DORZ205,6570,24163,70017,316535,9,8
0,2014,LATA00525,LATA00525,4907,16291,70017,316535,7,5
0,2014,SOMA12,SOMA12,16162,101753,70017,316535,23,32
0,2014,SOMA4,SOMA4,11311,70303,70017,316535,16,22
0,2014,TIMO505,TIMO505,11349,36669,70017,316535,16,12
0,2014,TRAV00425,TRAV00425,6418,21235,70017,316535,9,7
0,2015,CALC200,CALC200,18,83,31157,187864,0,0
0,2015,SACA1005,SACA1005,499,890,31157,187864,2,0
0,2015,SOMA12,SOMA12,20332,137849,31157,187864,65,73
0,2015,SOMA4,SOMA4,10308,49042,31157,187864,33,26
0,2016,CALC200,CALC200,17,102,32357,206608,0,0
0,2016,SOMA12,SOMA12,21720,149396,32357,206608,67,72
0,2016,SOMA4,SOMA4,10620,57110,32357,206608,33,28
0,2017,CALC200,CALC200,19,111,34573,221167,0,0
0,2017,SOMA12,SOMA12,23067,157263,34573,221167,67,71
0,2017,SOMA4,SOMA4,11487,63793,34573,221167,33,29
0,2018,DONE10,DONE10,625,2296,40379,246057,2,1
0,2018,DONE5,DONE5,600,2074,40379,246057,1,1
0,2018,GALA24,GALA24,115,447,40379,246057,0,0
0,2018,INSU1003,INSU1003,1873,2876,40379,246057,5,1
0,2018,SOMA12,SOMA12,24987,170766,40379,246057,62,69
0,2018,SOMA4,SOMA4,11415,65352,40379,246057,28,27
0,2018,TOXI100,TOXI100,105,132,40379,246057,0,0
0,2019,DONE10,DONE10,778,2427,52657,182910,1,1
0,2019,DONE5,DONE5,618,1853,52657,182910,1,1
0,2019,INSU1003,INSU1003,18986,52492,52657,182910,36,29
0,2019,RIVA18,RIVA18,148,400,52657,182910,0,0
0,2019,SOMA12,SOMA12,20976,85647,52657,182910,40,47
0,2019,SOMA4,SOMA4,9894,36865,52657,182910,19,20
0,2019,TOXI100,TOXI100,164,182,52657,182910,0,0
1,2008,ACIT10,ACIT10,3,3,50247,196463,0,0
1,2008,ACIT25,ACIT25,2,2,50247,196463,0,0
1,2008,AZAT50,AZAT50,1,1,50247,196463,0,0
1,2008,CICLOSP50,CICLOSP50,1,2,50247,196463,0,0
1,2008,ISOT10,ISOT10,7783,35549,50247,196463,15,18
1,2008,ISOT20,ISOT20,42456,160905,50247,196463,84,82
1,2008,LAMO100,LAMO100,1,1,50247,196463,0,0
1,2009,ISOT10,ISOT10,8129,37595,55571,212881,15,18
1,2009,ISOT20,ISOT20,47442,175286,55571,212881,85,82
1,2010,ACIT10,ACIT10,241,255,58305,205232,0,0
1,2010,ISOT10,ISOT10,7352,24976,58305,205232,13,12
1,2010,ISOT20,ISOT20,50710,179999,58305,205232,87,88
1,2010,,,2,2,58305,205232,0,0
1,2011,ISOT10,ISOT10,9221,31448,69132,265619,13,12
1,2011,ISOT20,ISOT20,59911,234171,69132,265619,87,88
1,2012,ISOT10,ISOT10,7679,28349,66178,244920,12,12
1,2012,ISOT20,ISOT20,58499,216571,66178,244920,88,88
1,2013,ISOT10,ISOT10,6886,25024,67703,248795,10,10
1,2013,ISOT20,ISOT20,60817,223771,67703,248795,90,90
1,2014,ISOT10,ISOT10,6902,24537,68497,246162,10,10
1,2014,ISOT20,ISOT20,61595,221625,68497,246162,90,90
1,2015,ISOT10,ISOT10,5341,17429,62512,214392,9,8
1,2015,ISOT20,ISOT20,57171,196963,62512,214392,91,92
1,2016,ISOT10,ISOT10,3016,8754,53613,181864,6,5
1,2016,ISOT20,ISOT20,50597,173110,53613,181864,94,95
1,2017,ISOT10,ISOT10,2886,8652,48913,169020,6,5
1,2017,ISOT20,ISOT20,46027,160368,48913,169020,94,95
1,2018,ISOT10,ISOT10,2330,6534,46010,158445,5,4
1,2018,ISOT20,ISOT20,43680,151911,46010,158445,95,96
1,2019,ISOT10,ISOT10,733,1699,24769,61545,3,3
1,2019,ISOT20,ISOT20,24036,59846,24769,61545,97,97
2,2008,BROM25,BROM25,1222,6767,9255,52311,13,13
2,2008,CABE05,CABE05,4698,23933,9255,52311,51,46
2,2008,CICLOSP100,CICLOSP100,423,2385,9255,52311,5,5
2,2008,FILG300,FILG300,276,1024,9255,52311,3,2
2,2008,OCTR10,OCTR10,275,1598,9255,52311,3,3
2,2008,OCTR20,OCTR20,989,6591,9255,52311,11,13
2,2008,OCTR30,OCTR30,659,5867,9255,52311,7,11
2,2009,BROM25,BROM25,905,5350,9267,56889,10,9
2,2009,CABE05,CABE05,4752,26268,9267,56889,51,46
2,2009,CICLOSP100,CICLOSP100,530,2963,9267,56889,6,5
2,2009,CICLOSP50,CICLOSP50,251,1251,9267,56889,3,2
2,2009,FILG300,FILG300,286,1092,9267,56889,3,2
2,2009,OCTR20,OCTR20,1088,8115,9267,56889,12,14
2,2009,OCTR30,OCTR30,789,7575,9267,56889,9,13
2,2010,BROM25,BROM25,751,4273,9528,54153,8,8
2,2010,CABE05,CABE05,4856,26864,9528,54153,51,50
2,2010,CICLOSP100,CICLOSP100,542,2610,9528,54153,6,5
2,2010,FILG300,FILG300,321,1020,9528,54153,3,2
2,2010,OCTR10,OCTR10,258,1556,9528,54153,3,3
2,2010,OCTR20,OCTR20,1122,7375,9528,54153,12,14
2,2010,OCTR30,OCTR30,948,7211,9528,54153,10,13
2,2011,AZAT50,AZAT50,429,1748,9774,58333,4,3
2,2011,BROM25,BROM25,676,4082,9774,58333,7,7
2,2011,CABE05,CABE05,4699,27569,9774,58333,48,47
2,2011,CICLOSP100,CICLOSP100,538,2826,9774,58333,6,5
2,2011,OCTR10,OCTR10,315,1793,9774,58333,3,3
2,2011,OCTR20,OCTR20,1247,8291,9774,58333,13,14
2,2011,OCTR30,OCTR30,1080,8565,9774,58333,11,15
2,2012,AZAT50,AZAT50,306,1636,9509,60527,3,3
2,2012,BROM25,BROM25,533,3417,9509,60527,6,6
2,2012,CABE05,CABE05,4722,29068,9509,60527,50,48
2,2012,CICLOSP100,CICLOSP100,540,2869,9509,60527,6,5
2,2012,OCTR10,OCTR10,286,1668,9509,60527,3,3
2,2012,OCTR20,OCTR20,1236,8579,9509,60527,13,14
2,2012,OCTR30,OCTR30,1211,10269,9509,60527,13,17
2,2013,BROM25,BROM25,417,2656,9573,63256,4,4
2,2013,CABE05,CABE05,4885,31221,9573,63256,51,49
2,2013,CICLOSP100,CICLOSP100,522,2730,9573,63256,5,4
2,2013,CICLOSP50,CICLOSP50,317,1730,9573,63256,3,3
2,2013,OCTR10,OCTR10,273,1761,9573,63256,3,3
2,2013,OCTR20,OCTR20,1242,8991,9573,63256,13,14
2,2013,OCTR30,OCTR30,1322,11350,9573,63256,14,18
2,2014,AZAT50,AZAT50,247,1364,9655,62663,3,2
2,2014,CABE05,CABE05,4783,30560,9655,62663,50,49
2,2014,CICLOSP100,CICLOSP100,590,3059,9655,62663,6,5
2,2014,CICLOSP50,CICLOSP50,365,1980,9655,62663,4,3
2,2014,OCTR10,OCTR10,313,1760,9655,62663,3,3
2,2014,OCTR20,OCTR20,1267,9551,9655,62663,13,15
2,2014,OCTR30,OCTR30,1348,11860,9655,62663,14,19
2,2015,AZAT50,AZAT50,220,1190,9358,60021,2,2
2,2015,CABE05,CABE05,4390,27761,9358,60021,47,46
2,2015,CICLOSP100,CICLOSP100,636,3469,9358,60021,7,6
2,2015,CICLOSP50,CICLOSP50,370,2002,9358,60021,4,3
2,2015,LANR120,LANR120,357,2002,9358,60021,4,3
2,2015,OCTR20,OCTR20,1240,8793,9358,60021,13,15
2,2015,OCTR30,OCTR30,1384,10940,9358,60021,15,18
2,2016,CABE05,CABE05,4058,26891,9044,60074,45,45
2,2016,CICLOSP100,CICLOSP100,652,3433,9044,60074,7,6
2,2016,CICLOSP50,CICLOSP50,380,1992,9044,60074,4,3
2,2016,LANR120,LANR120,500,3809,9044,60074,6,6
2,2016,LANR90,LANR90,240,1444,9044,60074,3,2
2,2016,OCTR20,OCTR20,1105,7762,9044,60074,12,13
2,2016,OCTR30,OCTR30,1345,10748,9044,60074,15,18
2,2017,CABE05,CABE05,3837,27004,9138,61880,42,44
2,2017,CICLOSP100,CICLOSP100,712,3707,9138,61880,8,6
2,2017,CICLOSP50,CICLOSP50,406,2106,9138,61880,4,3
2,2017,LANR120,LANR120,555,3617,9138,61880,6,6
2,2017,LANR90,LANR90,286,1701,9138,61880,3,3
2,2017,OCTR20,OCTR20,1236,8919,9138,61880,14,14
2,2017,OCTR30,OCTR30,1343,10979,9138,61880,15,18
2,2018,CABE05,CABE05,3346,24205,8799,59375,38,41
2,2018,CICLOSP100,CICLOSP100,788,3991,8799,59375,9,7
