"co_pcdt","sg_procedimento"
0,ACIT10
0,ACIT25
0,ADAL40
0,ALEN10
0,ALEN70
0,ALFA10000
0,ALFA2000
0,ALFA2100
0,ALFA210000000
0,ALFA2120
0,ALFA2180
0,ALFA23000000
0,ALFA25
0,ALFA25000000
0,ALFA280
0,ALFA3000
0,ALFA4000
0,AMAN100
0,ATOR10
0,ATOR20
0,AZAT50
0,BECL250200
0,BETA11200000044
0,BETA1600000022
0,BETA1600000030
0,BETA19600000300
0,BEZA200
0,BEZA400
0,BIPE2
0,BIPE4
0,BROM25
0,BUDE200
0,BUDE200100
0,CABE05
0,CALC025
0,CALC10
0,CALC200
0,CICLOSP10
0,CICLOSP100
0,CICLOSP10050
0,CICLOSP25
0,CICLOSP50
0,CIPR100
0,CIPR50
0,CIPR500
0,CLOZ100
0,CODE30
0,CODE302
0,COMP1
0,DANA100
0,DEFE500
0,DESF500
0,DESM0125
0,DESM4
0,DONE10
0,DONE5
0,ENTA200
0,ETAN25
0,ETAN50
0,FENO200
0,FENO250
0,FILG300
0,FORM12
0,FORM12400
0,FORM1240060
0,FORM620060
0,GABA300
0,GABA400
0,GALA16
0,GALA24
0,GENF600
0,GLAT20
0,GOLI50
0,GOSS1080
0,GOSS360
0,HIDR400
0,HIDR500
0,IMIG200
0,IMUN50
0,INFL1010
0,ISOT10
0,ISOT20
0,LAMI10240
0,LAMI150
0,LAMO100
0,LEFL20
0,LEUP375
0,LEVO100
0,LEVO10025
0,LEVO20050
0,LEVO25
0,LEVO25025
0,LEVO50
0,LOVA20
0,MESA1000
0,MESA3100
0,MESA400
0,MESA500
0,MESA800
0,META10
0,METI500
0,METO25
0,METO252
0,MICO180
0,MICO360
0,MICO500
0,MOLG300
0,MORF10
0,MORF1060
0,MORF30
0,OCTR20
0,OCTR30
0,OLAN10
0,OLAN5
0,PANC10000
0,PANC12000
0,PANC18000
0,PANC20000
0,PANC4500
0,PENI250
0,PRAM0125
0,PRAM025
0,PRAM1
0,PRAV10
0,PRAV20
0,PRAV40
0,QUET100
0,QUET200
0,RALO60
0,RIBA250
0,RILU50
0,RISE35
0,RISE5
0,RISP1
0,RISP2
0,RIVA15
0,RIVA20120
0,RIVA3
0,RIVA45
0,RIVA6
0,SACA1005
0,SALB100200
0,SECU150
0,SELE5
0,SEVE800
0,SILD20
0,SINV10
0,SINV20
0,SINV40
0,SINV80
0,SIRO1
0,SIRO160
0,SIRO2
0,SOMA4
0,SULF500
0,TACR1
0,TACR5
0,TOPI100
0,TOPI25
0,TOPI50
0,TOXI100
0,TOXI500
0,TRIE5
0,TRIP375
0,VIGA500
0,ZIPR80
1,ACIT10
1,CICLOSP50
1,ISOT10
1,ISOT20
2,ALFA2000
2,ALFA4000
2,ATOR10
2,AZAT50
2,BROM25
2,BROM5
2,CABE05
2,CICLOSP10
2,CICLOSP100
2,CICLOSP10050
2,CICLOSP25
2,CICLOSP50
2,DESM0125
2,FILG300
2,LANR120
2,LANR60
2,LANR90
2,LEUP375
2,MOLG300
2,OCTR01
