"co_pcdt","co_cid10_diagnostico_principal","co_sigtap_procedimento","nu_competencia_min","nu_competencia_max","qt_aprovada","qt_autorizacao","qt_cns_paciente","qt_municipios_paciente","qt_cnes","sg_procedimento","no_procedimento","no_cid10_diagnostico_principal"
1,L700,601070038,200801,200801,30,1,1,1,1,LAMO100,LAMOTRIGINA 100 MG (POR COMPRIMIDO),Acne vulgar 
1,L700,601140010,200801,200801,180,3,3,3,2,ACIT10,ACITRETINA 10 MG (POR CAPSULA),Acne vulgar 
1,L700,601140028,200801,200801,90,2,2,1,1,ACIT25,ACITRETINA 25 MG (POR CAPSULA),Acne vulgar 
1,L700,601140036,200801,201005,3226207,27089,11474,950,116,ISOT10,ISOTRETINOINA 10 MG (POR CAPSULA),Acne vulgar 
1,L700,601140044,200801,201005,17742810,173936,64182,2587,152,ISOT20,ISOTRETINOINA 20 MG (POR CAPSULA),Acne vulgar 
1,L700,601200012,200801,200801,90,1,1,1,1,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Acne vulgar 
1,L700,601200063,200801,200801,120,1,1,1,1,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Acne vulgar 
1,L700,604590016,201003,201906,7057258,69631,29458,1657,139,ISOT10,ISOTRETINOINA 10 MG (POR CAPSULA),Acne vulgar 
1,L700,604590024,201003,201906,84680474,727224,278310,4068,213,ISOT20,ISOTRETINOINA 20 MG (POR CAPSULA),Acne vulgar 
1,L700,604600011,201003,201005,13080,216,216,63,1,ACIT10,ACITRETINA 10 MG (POR CAPSULA),Acne vulgar 
1,L701,601140036,200801,201005,688007,4316,2357,271,65,ISOT10,ISOTRETINOINA 10 MG (POR CAPSULA),Acne conglobata 
1,L701,601140044,200801,201005,2759920,25507,11275,947,129,ISOT20,ISOTRETINOINA 20 MG (POR CAPSULA),Acne conglobata 
1,L701,604590016,201003,201906,2284154,14690,6628,629,111,ISOT10,ISOTRETINOINA 10 MG (POR CAPSULA),Acne conglobata 
1,L701,604590024,201003,201906,14960087,128981,53850,2407,199,ISOT20,ISOTRETINOINA 20 MG (POR CAPSULA),Acne conglobata 
1,L701,604600011,201005,201005,510,8,8,5,1,ACIT10,ACITRETINA 10 MG (POR CAPSULA),Acne conglobata 
1,L708,601140036,200801,201004,251721,1481,821,172,46,ISOT10,ISOTRETINOINA 10 MG (POR CAPSULA),Outras formas de acne 
1,L708,601140044,200801,201005,1778226,15192,6295,646,113,ISOT20,ISOTRETINOINA 20 MG (POR CAPSULA),Outras formas de acne 
1,L708,604590016,201003,201906,740650,5117,2398,360,92,ISOT10,ISOTRETINOINA 10 MG (POR CAPSULA),Outras formas de acne 
1,L708,604590024,201003,201906,6630144,54158,23135,1473,167,ISOT20,ISOTRETINOINA 20 MG (POR CAPSULA),Outras formas de acne 
1,L708,604600011,201003,201005,1050,17,17,12,1,ACIT10,ACITRETINA 10 MG (POR CAPSULA),Outras formas de acne 
2,D610,601120035,200801,200802,492,2,1,1,1,RIBA250,RIBAVIRINA 250 MG (POR CAPSULA),Anemia aplastica constitucional 
2,D610,601160010,200801,201004,7988,304,160,71,50,FILG300,FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),Anemia aplastica constitucional 
2,D610,601200012,200801,201004,231442,1308,272,92,36,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Anemia aplastica constitucional 
2,D610,601200020,200911,201003,1240,2,1,1,1,CICLOSP10,CICLOSPORINA 10 MG P/ TRANSPLANTE (POR CAPSULA),Anemia aplastica constitucional 
2,D610,601200039,200801,201005,135257,678,205,119,55,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Anemia aplastica constitucional 
2,D610,601200047,200801,201003,1086,87,39,27,23,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Anemia aplastica constitucional 
2,D610,601200055,200801,201004,22201,116,36,24,22,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Anemia aplastica constitucional 
2,D610,601200063,200801,201004,56006,265,94,51,34,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Anemia aplastica constitucional 
2,D610,601250036,200801,200801,180,1,1,1,1,SEVE800,SEVELAMER 800 MG (POR COMPRIMIDO),Anemia aplastica constitucional 
2,D610,604250010,201003,201906,17283,652,289,103,62,FILG300,FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),Anemia aplastica constitucional 
2,D610,604340010,201007,201411,540,2,2,2,2,CICLOSP10,CICLOSPORINA 10 MG P/ TRANSPLANTE (POR CAPSULA),Anemia aplastica constitucional 
2,D610,604340028,201003,201906,103382,673,219,128,64,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Anemia aplastica constitucional 
2,D610,604340036,201003,201906,338887,1849,488,241,90,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Anemia aplastica constitucional 
2,D610,604340044,201003,201906,552759,3255,814,350,109,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Anemia aplastica constitucional 
2,D610,604340052,201003,201906,2636,321,122,73,47,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Anemia aplastica constitucional 
2,D610,604530013,201003,201906,744408,4824,1178,418,92,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Anemia aplastica constitucional 
2,D611,601120035,200802,200802,124,1,1,1,1,RIBA250,RIBAVIRINA 250 MG (POR CAPSULA),Anemia aplastica induzida por drogas 
2,D611,601160010,200801,201005,12146,716,263,82,45,FILG300,FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),Anemia aplastica induzida por drogas 
2,D611,601160037,200802,200809,10,2,2,2,2,MOLG300,MOLGRAMOSTIM 300 MCG INJETAVEL (POR FRASCO),Anemia aplastica induzida por drogas 
