co_pcdt,co_cnes_estabelecimento,qt_dispensacao,qt_cns_paciente,nu_competencia_min,nu_competencia_max
1,3441,32516,4625,200801,201906
1,7609,2517,736,201602,201905
1,11762,684,383,200801,200803
1,15296,21,3,201805,201906
1,21806,19134,3539,200801,201906
1,2016338,16396,2860,200801,201906
1,2020645,3322,878,200802,201303
1,2043955,45595,7472,200801,201906
1,2044412,9951,1676,200801,201906
1,2051753,90485,14969,200801,201906
1,2054434,14835,2372,200801,201906
1,2058502,945,183,200801,201009
1,2068974,25386,5160,200801,200907
1,2071339,8605,1402,200801,201906
1,2076802,45217,6472,200801,201906
1,2078015,1733,353,200801,201007
1,2081695,274,61,200801,200812
1,2088940,52243,8273,200801,201906
1,2091461,2037,342,200801,200907
1,2091542,7404,1356,200801,200907
1,2092107,942,263,200801,201001
1,2092360,16133,2713,200801,201906
1,2092603,24295,4375,200801,201906
1,2092751,93,32,200801,200809
1,2092999,35226,5767,200801,201906
1,2179067,10011,1296,200801,201812
1,2179113,5734,587,200801,201904
1,2194406,18695,4008,200801,201902
1,2198290,5147,860,200801,201906
1,2228505,624,130,200801,201906
1,2234351,419,65,200805,201906
1,2236281,1809,329,200801,201906
1,2244055,837,177,200801,201906
1,2246597,2021,363,200801,201906
1,2249456,689,100,200803,201904
1,2251981,914,176,200801,201906
1,2257343,1338,282,200801,201906
1,2259745,1191,240,200801,201906
1,2261960,107,25,200801,201905
1,2263777,518,102,200802,201906
1,2265745,272,60,200801,201906
1,2333031,350,70,200803,201206
1,2336766,9068,2235,200811,201906
1,2407418,111833,17172,200801,201906
1,2414783,58,19,201807,201905
1,2415372,493,103,200801,201210
1,2448467,14656,2574,200801,201906
1,2466120,38828,7108,200801,201906
1,2469944,21,5,201809,201905
1,2481499,383,54,200805,201305
1,2493845,9551,1985,200801,201512
1,2494892,11715,2998,200801,201906
1,2526867,28036,6514,201304,201906
1,2531496,28908,6091,200802,201906
1,2532174,9154,1576,200801,201906
1,2557258,359,70,200801,201906
1,2557886,25,8,201807,201905
1,2561492,3824,744,200801,201305
1,2569043,19364,3597,200801,201906
1,2571536,6590,907,200801,201906
1,2576546,3623,509,200801,201906
1,2582473,4052,643,200801,201906
1,2583879,11778,1870,200801,201906
1,2588447,1018,162,200803,201906
1,2589885,5655,1605,200801,201906
1,2590441,12990,1966,200801,201906
1,2602148,21,9,201812,201905
1,2602164,111,32,201807,201905
1,2649349,10801,2231,200801,201906
1,2686864,12874,1553,200801,201906
1,2716380,93,14,200801,201003
1,2719991,46298,8154,200801,201905
1,2723158,9277,2003,200801,201303
1,2747863,8311,1521,201003,201906
1,2749769,65301,12234,200801,201906
1,2752700,325,84,201104,201306
1,2752727,10487,2024,200801,201303
1,2767449,10966,1662,200801,201903
1,2767457,10478,1601,200801,201812
1,2767465,8353,1407,200801,201812
1,2767473,21709,3214,200801,201901
1,2767481,29027,4484,200801,201905
1,2768259,13984,1825,200801,201902
1,2768267,2348,386,200801,201812
1,2768275,4852,783,200801,201906
1,2768399,12200,1638,200801,201906
1,2768402,5499,894,200801,201905
1,2768410,77438,14996,200801,201906
1,2768429,7966,1432,200801,201901
1,2768437,6861,751,200801,201904
1,2768445,18428,3258,200801,201901
1,2768453,15265,2313,200801,201905
1,2768461,44640,6011,200801,201905
1,2768488,4139,722,200801,201902
1,2768496,717,126,200801,201812
1,2768518,11186,1868,200801,201904
1,2768526,3165,417,200801,201902
1,2768534,16983,3308,200801,201905
1,2774526,2340,391,200801,201906
1,2774593,1985,328,200804,201906
1,2774909,537,158,200801,201906
1,2777606,66140,11146,200801,201906
1,2779528,1489,245,200801,201008
1,2781948,1499,458,200801,201906
1,2781964,1032,226,200801,201906
1,2781972,859,155,200801,201906
1,2783746,2117,314,200801,201906
