"co_pcdt","co_uf_ibge_estabelecimento","nu_ano_competencia","qt_cnes_estabelecimento"
1,11,2008,1
1,11,2009,1
1,11,2010,1
1,11,2011,1
1,11,2012,1
1,11,2013,1
1,11,2014,1
1,11,2015,1
1,11,2016,1
1,11,2017,1
1,11,2018,1
1,11,2019,1
1,12,2008,1
1,12,2009,1
1,12,2010,1
1,12,2011,1
1,12,2012,1
1,12,2013,1
1,12,2014,1
1,12,2015,1
1,12,2016,1
1,12,2017,2
1,13,2008,1
1,13,2009,1
1,13,2010,1
1,13,2011,1
1,13,2012,1
1,13,2013,1
1,13,2014,1
1,13,2015,1
1,13,2016,1
1,13,2017,1
1,13,2018,1
1,13,2019,2
1,14,2008,1
1,14,2009,1
1,14,2010,1
1,14,2011,1
1,14,2013,1
1,14,2014,1
1,14,2015,1
1,14,2016,1
1,14,2019,1
1,15,2008,3
1,15,2009,4
1,15,2010,5
1,15,2011,5
1,15,2012,8
1,15,2013,9
1,15,2014,6
1,15,2015,7
1,15,2016,8
1,15,2017,10
1,15,2018,9
1,15,2019,7
1,16,2008,1
1,16,2009,1
1,16,2010,1
1,16,2011,1
1,16,2012,2
1,16,2013,2
1,16,2014,1
1,16,2015,1
1,16,2016,1
1,16,2018,1
1,16,2019,1
1,17,2008,4
1,17,2009,4
1,17,2010,4
1,17,2011,4
1,17,2012,4
1,17,2013,4
1,17,2014,4
1,17,2015,4
1,17,2016,4
1,17,2017,4
1,17,2018,4
1,17,2019,3
1,21,2008,1
1,21,2009,1
1,21,2010,1
1,21,2011,1
1,21,2012,1
1,21,2013,1
1,21,2014,1
1,21,2015,1
1,21,2016,1
1,21,2017,1
1,21,2018,1
1,21,2019,1
1,22,2008,1
1,22,2009,1
1,22,2010,1
1,22,2011,1
1,22,2012,1
1,22,2013,1
1,22,2014,1
1,22,2015,1
1,22,2016,1
1,22,2017,1
1,22,2018,1
1,22,2019,1
1,23,2008,10
1,23,2009,12
1,23,2010,15
1,23,2011,16
1,23,2012,18
1,23,2013,17
1,23,2014,5
1,23,2015,4
1,23,2016,2
1,23,2017,2
1,23,2018,2
1,23,2019,2
1,24,2008,1
1,24,2009,1
1,24,2010,1
1,24,2011,1
1,24,2012,4
1,24,2013,6
1,24,2014,6
1,24,2015,6
1,24,2016,6
1,24,2017,6
1,24,2018,2
1,24,2019,1
1,25,2008,1
1,25,2009,1
1,25,2010,2
1,25,2011,2
1,25,2012,2
1,25,2013,2
1,25,2014,2
1,25,2015,2
1,25,2016,2
1,25,2017,2
1,25,2018,2
1,25,2019,2
1,26,2008,1
1,26,2009,1
1,26,2010,2
1,26,2011,2
1,26,2012,1
1,26,2013,1
1,26,2014,1
1,26,2015,1
1,26,2016,1
1,26,2017,1
1,26,2018,1
1,26,2019,1
1,27,2008,1
1,27,2009,1
1,27,2010,1
1,27,2011,1
1,27,2012,1
1,27,2013,1
1,27,2014,1
1,27,2015,1
1,27,2016,1
1,27,2017,1
1,27,2018,1
1,27,2019,1
1,28,2008,1
1,28,2009,1
1,28,2010,1
1,28,2011,1
1,28,2012,1
1,28,2013,1
1,28,2014,1
1,28,2015,1
1,28,2016,1
1,28,2017,1
1,28,2018,1
1,28,2019,1
1,29,2008,1
1,29,2009,1
1,29,2010,1
1,29,2011,1
1,29,2012,1
1,29,2013,1
1,29,2014,1
1,29,2015,2
1,29,2016,2
1,29,2017,3
1,29,2018,29
1,29,2019,30
1,31,2008,28
1,31,2009,28
1,31,2010,28
1,31,2011,28
1,31,2012,28
1,31,2013,28
1,31,2014,28
1,31,2015,28
1,31,2016,28
1,31,2017,28
1,31,2018,28
