"co_pcdt","qt_paciente_m","qt_paciente_f","qt_obito_m","qt_obito_f","sg_faixa_etaria","qt_registros_pcdt"
0,14,18,0,0,"00-04",6100
0,26,29,0,0,"05-09",6100
0,62,43,0,0,"10-14",6100
0,85,66,0,0,"15-19",6100
0,109,93,0,0,"20-24",6100
0,138,126,0,0,"25-29",6100
0,154,147,0,0,"30-34",6100
0,165,195,0,0,"35-39",6100
0,229,274,0,0,"40-44",6100
0,251,299,0,0,"45-49",6100
0,290,400,0,0,"50-54",6100
0,345,390,1,0,"55-59",6100
0,295,409,0,0,"60-64",6100
0,252,325,0,0,"65-69",6100
0,196,266,0,0,"70-74",6100
0,133,158,0,0,"75-79",6100
0,56,113,0,0,"80-84",6100
0,30,36,0,0,"85-89",6100
0,5,7,0,0,"90+",6100
1,393,278,0,0,"00-04",416151
1,408,274,0,0,"05-09",416151
1,14642,8493,0,0,"10-14",416151
1,151879,62502,0,0,"15-19",416151
1,46384,48601,0,0,"20-24",416151
1,16433,36145,0,0,"25-29",416151
1,6940,21776,0,0,"30-34",416151
1,3143,11312,0,0,"35-39",416151
1,1457,4824,0,0,"40-44",416151
1,919,1969,0,0,"45-49",416151
1,475,726,0,0,"50-54",416151
1,287,296,0,0,"55-59",416151
1,168,171,0,0,"60-64",416151
1,110,85,0,0,"65-69",416151
1,105,70,0,0,"70-74",416151
1,60,53,0,0,"75-79",416151
1,18,38,0,0,"80-84",416151
1,14,23,0,0,"85-89",416151
1,34,29,0,0,"90+",416151
1,12,9,0,0,SemInfo,416151
2,98,104,0,0,"00-04",28751
2,158,169,0,0,"05-09",28751
2,288,266,0,0,"10-14",28751
2,388,888,1,0,"15-19",28751
2,493,1620,0,0,"20-24",28751
2,607,2524,0,0,"25-29",28751
2,706,2986,0,0,"30-34",28751
2,876,2986,0,1,"35-39",28751
2,838,2813,0,0,"40-44",28751
2,873,2281,0,0,"45-49",28751
2,794,1466,0,0,"50-54",28751
2,750,1009,1,0,"55-59",28751
2,574,730,1,1,"60-64",28751
2,393,515,0,0,"65-69",28751
2,258,367,0,0,"70-74",28751
2,149,237,0,1,"75-79",28751
2,91,108,0,0,"80-84",28751
2,35,28,0,0,"85-89",28751
2,13,19,0,0,"90+",28751
2,1,3,0,0,SemInfo,28751
3,42,32,0,0,"00-04",15921
3,53,45,0,0,"05-09",15921
3,90,67,0,0,"10-14",15921
3,109,105,0,1,"15-19",15921
3,160,149,0,0,"20-24",15921
3,230,253,0,0,"25-29",15921
3,301,377,0,0,"30-34",15921
3,338,379,0,0,"35-39",15921
3,480,476,2,0,"40-44",15921
3,698,660,0,0,"45-49",15921
3,862,828,3,0,"50-54",15921
3,926,973,2,3,"55-59",15921
3,814,944,2,6,"60-64",15921
3,759,831,0,1,"65-69",15921
3,615,741,0,1,"70-74",15921
3,537,652,3,1,"75-79",15921
3,430,505,1,0,"80-84",15921
3,242,281,2,0,"85-89",15921
3,116,112,0,1,"90+",15921
4,99,64,0,0,"00-04",1914
4,79,62,0,0,"05-09",1914
4,65,119,0,0,"10-14",1914
4,54,95,0,0,"15-19",1914
4,37,116,0,0,"20-24",1914
4,46,104,0,0,"25-29",1914
4,26,120,0,0,"30-34",1914
4,36,103,0,0,"35-39",1914
4,40,87,0,0,"40-44",1914
4,33,72,0,0,"45-49",1914
4,29,84,0,0,"50-54",1914
4,31,70,0,0,"55-59",1914
4,35,58,0,0,"60-64",1914
4,18,38,0,1,"65-69",1914
4,14,33,0,0,"70-74",1914
4,15,36,0,0,"75-79",1914
4,10,19,0,0,"80-84",1914
4,5,3,0,0,"85-89",1914
4,2,2,0,0,"90+",1914
4,0,1,0,0,SemInfo,1914
5,608,352,0,0,"00-04",451596
5,599,476,2,0,"05-09",451596
5,1043,1075,0,1,"10-14",451596
5,2618,2402,0,2,"15-19",451596
5,5068,4515,3,4,"20-24",451596
5,7706,7119,10,2,"25-29",451596
5,9839,8989,9,5,"30-34",451596
5,12153,10872,19,18,"35-39",451596
5,15387,13110,22,9,"40-44",451596
5,20243,15826,30,25,"45-49",451596
5,25839,18764,35,21,"50-54",451596
5,30306,21096,41,31,"55-59",451596
5,30907,22780,61,44,"60-64",451596
5,27751,21315,68,49,"65-69",451596
5,22957,18602,47,30,"70-74",451596
5,18460,15667,43,32,"75-79",451596
5,12728,11634,32,35,"80-84",451596
5,7094,6871,24,15,"85-89",451596
5,3067,3046,8,5,"90+",451596
5,6,3,0,0,SemInfo,451596
6,3,1,0,0,"00-04",1305
6,10,6,0,0,"05-09",1305
6,17,25,0,0,"10-14",1305
6,46,56,0,0,"15-19",1305
6,37,71,0,0,"20-24",1305
6,50,106,0,0,"25-29",1305
6,51,81,0,0,"30-34",1305
6,27,88,0,0,"35-39",1305
6,31,86,0,0,"40-44",1305
6,30,90,0,0,"45-49",1305
6,41,81,0,0,"50-54",1305
6,33,60,0,0,"55-59",1305
6,23,47,0,0,"60-64",1305
6,23,30,0,0,"65-69",1305
6,17,24,0,0,"70-74",1305
6,15,19,0,0,"75-79",1305
6,5,12,0,0,"80-84",1305
6,2,2,0,0,"85-89",1305
6,0,1,0,0,"90+",1305
7,35,36,0,0,"00-04",4500
7,78,58,0,0,"05-09",4500
7,100,111,0,0,"10-14",4500
7,112,156,0,0,"15-19",4500
7,119,196,0,0,"20-24",4500
7,133,269,0,0,"25-29",4500
7,130,238,0,0,"30-34",4500
7,125,264,0,0,"35-39",4500
7,190,296,0,0,"40-44",4500
7,196,278,0,0,"45-49",4500
7,163,233,0,0,"50-54",4500
7,146,235,0,0,"55-59",4500
7,102,153,0,0,"60-64",4500
7,79,112,0,0,"65-69",4500
7,46,67,0,0,"70-74",4500
7,32,37,0,0,"75-79",4500
7,17,22,0,0,"80-84",4500
7,7,10,0,0,"85-89",4500
7,4,2,0,0,"90+",4500
8,7,21,0,0,"00-04",27081
8,22,32,0,0,"05-09",27081
8,67,69,0,0,"10-14",27081
8,139,231,0,0,"15-19",27081
8,337,397,0,0,"20-24",27081
8,612,739,0,0,"25-29",27081
8,1059,1127,1,0,"30-34",27081
8,1408,1344,0,0,"35-39",27081
8,1658,1421,0,0,"40-44",27081
8,1946,1712,0,0,"45-49",27081
8,1921,2093,2,0,"50-54",27081
8,1614,2004,2,0,"55-59",27081
8,1180,1496,0,0,"60-64",27081
8,721,886,0,0,"65-69",27081
8,360,481,0,0,"70-74",27081
8,178,251,0,0,"75-79",27081
8,54,109,0,0,"80-84",27081
8,14,21,0,0,"85-89",27081
8,7,6,0,0,"90+",27081
8,0,1,0,0,SemInfo,27081
9,1,2,0,0,"05-09",381
9,1,0,0,0,"10-14",381
9,6,5,0,0,"15-19",381
9,32,6,0,0,"20-24",381
9,18,21,0,0,"25-29",381
9,22,21,0,0,"30-34",381
9,27,21,0,0,"35-39",381
9,35,27,0,0,"40-44",381
9,24,27,0,0,"45-49",381
9,10,22,0,0,"50-54",381
9,10,18,0,0,"55-59",381
9,3,9,0,0,"60-64",381
9,2,5,0,0,"65-69",381
9,0,6,0,0,"70-74",381
9,1,5,0,0,"75-79",381
9,0,1,0,0,"85-89",381
10,348,853,0,0,"00-04",311613
10,758,1497,0,0,"05-09",311613
10,1539,2524,0,1,"10-14",311613
10,1522,3448,0,0,"15-19",311613
10,1776,5255,0,0,"20-24",311613
10,2439,8671,0,0,"25-29",311613
10,3208,13183,3,0,"30-34",311613
10,4063,17533,1,1,"35-39",311613
10,5045,22995,1,1,"40-44",311613
10,6009,30713,1,8,"45-49",311613
10,6992,38311,2,14,"50-54",311613
