"co_pcdt","sg_procedimentoa","sg_procedimentob","qt_cns_paciente","sg_procedimentob2"
0,ALFA4000,CALC025,437,CALC025
0,ALFA4000,SACA1005,508,SACA1005
0,ALFA4000,SEVE800,73,SEVE800
0,CALC025,ALFA4000,160,ALFA4000
0,CALC025,SACA1005,329,SACA1005
0,CICLOSP25,CICLOSP50,74,CICLOSP50
0,FORM12,BUDE200,129,BUDE200
0,FORM12,FORM12400,142,FORM12400
0,SACA1005,ALFA4000,57,ALFA4000
0,SINV20,SINV10,86,SINV10
1,ISOT10,ISOT20,26401,ISOT20
1,ISOT20,ACIT10,272,ACIT10
1,ISOT20,ACIT25,146,ACIT25
1,ISOT20,AZAT50,138,AZAT50
1,ISOT20,CABE05,193,CABE05
1,ISOT20,FORM1240060,281,FORM1240060
1,ISOT20,GOSS1080,227,GOSS1080
1,ISOT20,ISOT10,12960,ISOT10
1,ISOT20,OLAN10,214,OLAN10
1,ISOT20,QUET100,158,QUET100
2,BROM25,CABE05,765,CABE05
2,CABE05,OCTR20,450,OCTR20
2,CABE05,OCTR30,435,OCTR30
2,CICLOSP100,CICLOSP25,349,CICLOSP25
2,CICLOSP100,CICLOSP50,893,CICLOSP50
2,CICLOSP25,CICLOSP50,321,CICLOSP50
2,OCTR20,CABE05,394,CABE05
2,OCTR20,OCTR30,1176,OCTR30
2,OCTR30,CABE05,808,CABE05
2,OCTR30,OCTR20,354,OCTR20
3,ALFA2000,SACA1005,474,SACA1005
3,ALFA4000,ALFA10000,386,ALFA10000
3,ALFA4000,ALFA2000,425,ALFA2000
3,ALFA4000,ALFA3000,383,ALFA3000
3,ALFA4000,ATOR20,223,ATOR20
3,ALFA4000,CALC025,846,CALC025
3,ALFA4000,FILG300,454,FILG300
3,ALFA4000,SACA1005,2193,SACA1005
3,ALFA4000,SEVE800,693,SEVE800
3,SACA1005,ALFA4000,267,ALFA4000
4,CICLOSP100,CICLOSP25,19,CICLOSP25
4,CICLOSP100,CICLOSP50,54,CICLOSP50
4,CICLOSP25,CICLOSP50,22,CICLOSP50
4,CICLOSP50,CICLOSP100,16,CICLOSP100
4,CICLOSP50,CICLOSP25,23,CICLOSP25
4,IMUN05,IMUN50,11,IMUN50
4,IMUN50,ALFA4000,22,ALFA4000
4,IMUN50,AZAT50,128,AZAT50
4,IMUN50,CICLOSP100,16,CICLOSP100
4,IMUN50,CICLOSP10050,14,CICLOSP10050
4,IMUN50,HIDR400,35,HIDR400
4,IMUN50,IMUN05,17,IMUN05
5,ALFA4000,ALFA10000,2834,ALFA10000
5,ALFA4000,ALFA2000,12628,ALFA2000
5,ALFA4000,ALFA3000,10095,ALFA3000
5,ALFA4000,ATOR10,1714,ATOR10
5,ALFA4000,ATOR20,3196,ATOR20
5,ALFA4000,CALC025,63385,CALC025
5,ALFA4000,CALC10,13370,CALC10
5,ALFA4000,MICO360,2013,MICO360
5,ALFA4000,SACA1005,151142,SACA1005
5,ALFA4000,SEVE800,48349,SEVE800
6,DANA100,ALFA4000,5,ALFA4000
6,DANA100,ATOR10,7,ATOR10
6,DANA100,ATOR20,8,ATOR20
6,DANA100,AZAT50,20,AZAT50
6,DANA100,CICLOSP100,17,CICLOSP100
6,DANA100,CODE30,9,CODE30
6,DANA100,DANA200,21,DANA200
6,DANA100,DEFE500,7,DEFE500
6,DANA100,FORM1240060,4,FORM1240060
6,DANA100,HIDR400,6,HIDR400
6,DANA100,IMUN50,7,IMUN50
6,DANA100,SALB100200,4,SALB100200
6,DANA100,SINV10,5,SINV10
6,DANA200,DANA100,8,DANA100
6,DANA200,DANA200,30,DANA200
7,AZAT50,CICLOSP100,101,CICLOSP100
7,AZAT50,HIDR400,167,HIDR400
7,AZAT50,INFL1010,77,INFL1010
7,AZAT50,MESA400,74,MESA400
7,AZAT50,TACR1,81,TACR1
7,CICLOSP100,CICLOSP25,116,CICLOSP25
7,CICLOSP100,CICLOSP50,301,CICLOSP50
7,CICLOSP25,CICLOSP50,188,CICLOSP50
7,CICLOSP50,CICLOSP100,104,CICLOSP100
7,CICLOSP50,CICLOSP25,102,CICLOSP25
8,ADAL40,ETAN50,737,ETAN50
8,ADAL40,METO25,1067,METO25
8,ETAN25,ETAN50,486,ETAN50
8,ETAN50,ADAL40,785,ADAL40
8,ETAN50,ETAN25,488,ETAN25
8,ETAN50,METO25,570,METO25
8,INFL1010,ADAL40,336,ADAL40
8,LEFL20,ADAL40,284,ADAL40
8,LEFL20,METO25,413,METO25
8,METO25,ADAL40,456,ADAL40
9,SULF500,ACIT25,1,ACIT25
9,SULF500,ADAL40,23,ADAL40
9,SULF500,ATOR10,1,ATOR10
9,SULF500,ATOR20,1,ATOR20
9,SULF500,ATOR40,1,ATOR40
9,SULF500,AZAT50,4,AZAT50
9,SULF500,CALC200,1,CALC200
9,SULF500,CERT200,2,CERT200
9,SULF500,CICLOSP100,1,CICLOSP100
9,SULF500,CICLOSP50,1,CICLOSP50
9,SULF500,CIPR100,3,CIPR100
9,SULF500,CITR5,1,CITR5
9,SULF500,CLOB0550,1,CLOB0550
9,SULF500,CODE30,1,CODE30
9,SULF500,DACL60,1,DACL60
9,SULF500,ETAN50,8,ETAN50
9,SULF500,GABA300,1,GABA300
9,SULF500,GALA8,1,GALA8
9,SULF500,GENF600,1,GENF600
9,SULF500,GOLI50,3,GOLI50
9,SULF500,GOSS360,1,GOSS360
9,SULF500,HIDR400,3,HIDR400
9,SULF500,INFL1010,9,INFL1010
9,SULF500,LAMO50,1,LAMO50
9,SULF500,LEFL20,11,LEFL20
9,SULF500,LEVO50,1,LEVO50
9,SULF500,MESA400,1,MESA400
9,SULF500,METO25,19,METO25
9,SULF500,METO252,1,METO252
9,SULF500,RIBA250,1,RIBA250
9,SULF500,RISP2,1,RISP2
9,SULF500,TIMO505,1,TIMO505
10,ADAL40,METO25,6359,METO25
10,HIDR400,LEFL20,10828,LEFL20
10,HIDR400,METO25,16953,METO25
10,LEFL20,ADAL40,15406,ADAL40
10,LEFL20,ETAN50,8584,ETAN50
10,LEFL20,HIDR400,5781,HIDR400
10,LEFL20,METO25,27326,METO25
10,LEFL20,METO252,5206,METO252
10,METO25,HIDR400,5459,HIDR400
10,METO25,LEFL20,12986,LEFL20
11,FORM12400,FORM1240060,44251,FORM1240060
11,FORM12400,FORM6200,15698,FORM6200
11,FORM1240060,FORM12400,43616,FORM12400
11,FORM1240060,FORM620060,15881,FORM620060
11,FORM1240060,SALB100200,13183,SALB100200
11,FORM6200,FORM1240060,7788,FORM1240060
11,FORM6200,FORM620060,9868,FORM620060
11,FORM620060,FORM1240060,12369,FORM1240060
11,FORM620060,FORM6200,7459,FORM6200
11,SALB100200,FORM1240060,16042,FORM1240060
