"co_pcdt","nu_trimestre","sg_procedimento","qt_sexo_f","qt_idade_paciente60","qt_st_redesbr3","qt_ibge_gestao","qt_aprovada","qt_dispensacao","qt_cns_paciente"
1,"200801",ACIT10,1,1,2,2,180,3,3
1,"200801",ACIT25,1,0,2,1,90,2,2
1,"200801",AZAT50,0,0,1,1,90,1,1
1,"200801",CICLOSP50,0,0,2,1,120,2,1
1,"200801",ISOT10,3628,20,6766,19,378492,7272,2591
1,"200801",ISOT20,16061,100,31777,27,2070729,34738,17477
1,"200801",LAMO100,0,0,1,1,30,1,1
1,"200802",ISOT10,4406,29,7764,21,425166,8400,3010
1,"200802",ISOT20,17177,89,34632,27,2211153,37836,18572
1,"200803",ISOT10,5007,23,8628,20,498195,9499,3555
1,"200803",ISOT20,19290,101,38850,27,2463272,42359,20974
1,"200804",ISOT10,5427,20,9495,19,543226,10378,3801
1,"200804",ISOT20,21052,111,41983,27,2764392,45972,22332
1,"200901",ISOT10,4233,24,7661,21,402015,8362,2931
1,"200901",ISOT20,17992,111,36296,26,2355911,39695,19982
1,"200902",ISOT10,3996,17,7202,19,398788,7924,2840
1,"200902",ISOT20,17394,125,36342,27,2359722,39900,20230
1,"200903",ISOT10,5025,11,8880,22,507424,9845,3443
1,"200903",ISOT20,20701,124,42531,27,2811549,46985,23725
1,"200904",ISOT10,5958,11,10310,21,694992,11464,4229
1,"200904",ISOT20,21506,133,44267,26,2978146,48706,24340
1,"201001",ACIT10,4,0,6,1,360,6,6
1,"201001",ISOT10,4130,17,7067,23,364837,7891,3112
1,"201001",ISOT20,19534,115,40200,26,2626364,44342,22448
1,"201001",,1,0,2,1,120,2,2
1,"201002",ACIT10,129,1,249,1,14280,249,235
1,"201002",ISOT10,2877,8,5375,23,376624,5941,2945
1,"201002",ISOT20,19891,110,41581,26,2744147,46499,23347
1,"201003",ISOT10,2599,9,4867,22,340281,5503,3029
1,"201003",ISOT20,19015,104,38873,26,2658236,44328,23564
1,"201004",ISOT10,2696,8,5029,22,333650,5641,3223
1,"201004",ISOT20,19078,98,38950,26,2724515,44830,23940
1,"201101",ISOT10,2877,9,5696,19,372882,6212,3395
1,"201101",ISOT20,19854,91,42859,23,2909561,47663,24278
1,"201102",ISOT10,3470,15,6938,18,471608,7514,3726
1,"201102",ISOT20,23017,102,51086,24,3484644,57299,28572
1,"201103",ISOT10,4062,15,8049,20,531197,8817,4433
1,"201103",ISOT20,26825,154,60419,24,4171754,67802,33135
1,"201104",ISOT10,4118,12,8013,20,568993,8905,4572
1,"201104",ISOT20,24746,119,54042,25,3789343,61407,30985
1,"201201",ISOT10,3113,14,6287,20,413871,6946,3545
1,"201201",ISOT20,20035,80,44538,23,3041555,50094,25677
1,"201202",ISOT10,3102,10,6081,21,431331,6767,3248
